"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2020 00:00 - 01.01.2020 00:15","5912","6059"
"01.01.2020 00:15 - 01.01.2020 00:30","5796","6001"
"01.01.2020 00:30 - 01.01.2020 00:45","5696","5936"
"01.01.2020 00:45 - 01.01.2020 01:00","5604","5871"
"01.01.2020 01:00 - 01.01.2020 01:15","5588","5874"
"01.01.2020 01:15 - 01.01.2020 01:30","5496","5803"
"01.01.2020 01:30 - 01.01.2020 01:45","5420","5737"
"01.01.2020 01:45 - 01.01.2020 02:00","5364","5659"
"01.01.2020 02:00 - 01.01.2020 02:15","5448","5722"
"01.01.2020 02:15 - 01.01.2020 02:30","5388","5650"
"01.01.2020 02:30 - 01.01.2020 02:45","5328","5542"
"01.01.2020 02:45 - 01.01.2020 03:00","5276","5454"
"01.01.2020 03:00 - 01.01.2020 03:15","5244","5405"
"01.01.2020 03:15 - 01.01.2020 03:30","5208","5344"
"01.01.2020 03:30 - 01.01.2020 03:45","5188","5286"
"01.01.2020 03:45 - 01.01.2020 04:00","5180","5242"
"01.01.2020 04:00 - 01.01.2020 04:15","5192","5253"
"01.01.2020 04:15 - 01.01.2020 04:30","5208","5244"
"01.01.2020 04:30 - 01.01.2020 04:45","5232","5242"
"01.01.2020 04:45 - 01.01.2020 05:00","5264","5257"
"01.01.2020 05:00 - 01.01.2020 05:15","5312","5338"
"01.01.2020 05:15 - 01.01.2020 05:30","5360","5367"
"01.01.2020 05:30 - 01.01.2020 05:45","5408","5409"
"01.01.2020 05:45 - 01.01.2020 06:00","5436","5408"
"01.01.2020 06:00 - 01.01.2020 06:15","5476","5405"
"01.01.2020 06:15 - 01.01.2020 06:30","5556","5448"
"01.01.2020 06:30 - 01.01.2020 06:45","5660","5511"
"01.01.2020 06:45 - 01.01.2020 07:00","5756","5584"
"01.01.2020 07:00 - 01.01.2020 07:15","5904","5716"
"01.01.2020 07:15 - 01.01.2020 07:30","6008","5817"
"01.01.2020 07:30 - 01.01.2020 07:45","6100","5878"
"01.01.2020 07:45 - 01.01.2020 08:00","6196","5922"
"01.01.2020 08:00 - 01.01.2020 08:15","6272","6033"
"01.01.2020 08:15 - 01.01.2020 08:30","6360","6121"
"01.01.2020 08:30 - 01.01.2020 08:45","6464","6174"
"01.01.2020 08:45 - 01.01.2020 09:00","6552","6247"
"01.01.2020 09:00 - 01.01.2020 09:15","6652","6330"
"01.01.2020 09:15 - 01.01.2020 09:30","6724","6378"
"01.01.2020 09:30 - 01.01.2020 09:45","6784","6438"
"01.01.2020 09:45 - 01.01.2020 10:00","6840","6487"
"01.01.2020 10:00 - 01.01.2020 10:15","6904","6602"
"01.01.2020 10:15 - 01.01.2020 10:30","6948","6648"
"01.01.2020 10:30 - 01.01.2020 10:45","7012","6696"
"01.01.2020 10:45 - 01.01.2020 11:00","7068","6682"
"01.01.2020 11:00 - 01.01.2020 11:15","7100","6741"
"01.01.2020 11:15 - 01.01.2020 11:30","7164","6750"
"01.01.2020 11:30 - 01.01.2020 11:45","7160","6772"
"01.01.2020 11:45 - 01.01.2020 12:00","7084","6720"
"01.01.2020 12:00 - 01.01.2020 12:15","7080","6752"
"01.01.2020 12:15 - 01.01.2020 12:30","6984","6734"
"01.01.2020 12:30 - 01.01.2020 12:45","6892","6690"
"01.01.2020 12:45 - 01.01.2020 13:00","6836","6623"
"01.01.2020 13:00 - 01.01.2020 13:15","6808","6570"
"01.01.2020 13:15 - 01.01.2020 13:30","6756","6545"
"01.01.2020 13:30 - 01.01.2020 13:45","6716","6516"
"01.01.2020 13:45 - 01.01.2020 14:00","6672","6504"
"01.01.2020 14:00 - 01.01.2020 14:15","6648","6473"
"01.01.2020 14:15 - 01.01.2020 14:30","6624","6454"
"01.01.2020 14:30 - 01.01.2020 14:45","6616","6429"
"01.01.2020 14:45 - 01.01.2020 15:00","6612","6453"
"01.01.2020 15:00 - 01.01.2020 15:15","6644","6493"
"01.01.2020 15:15 - 01.01.2020 15:30","6660","6496"
"01.01.2020 15:30 - 01.01.2020 15:45","6696","6528"
"01.01.2020 15:45 - 01.01.2020 16:00","6756","6610"
"01.01.2020 16:00 - 01.01.2020 16:15","6840","6722"
"01.01.2020 16:15 - 01.01.2020 16:30","6944","6824"
"01.01.2020 16:30 - 01.01.2020 16:45","7076","7044"
"01.01.2020 16:45 - 01.01.2020 17:00","7204","7180"
"01.01.2020 17:00 - 01.01.2020 17:15","7292","7335"
"01.01.2020 17:15 - 01.01.2020 17:30","7356","7388"
"01.01.2020 17:30 - 01.01.2020 17:45","7388","7419"
"01.01.2020 17:45 - 01.01.2020 18:00","7404","7453"
"01.01.2020 18:00 - 01.01.2020 18:15","7428","7463"
"01.01.2020 18:15 - 01.01.2020 18:30","7408","7438"
"01.01.2020 18:30 - 01.01.2020 18:45","7368","7438"
"01.01.2020 18:45 - 01.01.2020 19:00","7336","7370"
"01.01.2020 19:00 - 01.01.2020 19:15","7204","7309"
"01.01.2020 19:15 - 01.01.2020 19:30","7148","7308"
"01.01.2020 19:30 - 01.01.2020 19:45","7076","7248"
"01.01.2020 19:45 - 01.01.2020 20:00","6992","7172"
"01.01.2020 20:00 - 01.01.2020 20:15","6920","7004"
"01.01.2020 20:15 - 01.01.2020 20:30","6824","6950"
"01.01.2020 20:30 - 01.01.2020 20:45","6732","6861"
"01.01.2020 20:45 - 01.01.2020 21:00","6624","6788"
"01.01.2020 21:00 - 01.01.2020 21:15","6528","6677"
"01.01.2020 21:15 - 01.01.2020 21:30","6432","6572"
"01.01.2020 21:30 - 01.01.2020 21:45","6344","6470"
"01.01.2020 21:45 - 01.01.2020 22:00","6316","6436"
"01.01.2020 22:00 - 01.01.2020 22:15","6576","6612"
"01.01.2020 22:15 - 01.01.2020 22:30","6556","6564"
"01.01.2020 22:30 - 01.01.2020 22:45","6428","6406"
"01.01.2020 22:45 - 01.01.2020 23:00","6324","6306"
"01.01.2020 23:00 - 01.01.2020 23:15","6304","6258"
"01.01.2020 23:15 - 01.01.2020 23:30","6172","6138"
"01.01.2020 23:30 - 01.01.2020 23:45","6044","6026"
"01.01.2020 23:45 - 02.01.2020 00:00","5972","5964"
"02.01.2020 00:00 - 02.01.2020 00:15","6128","5972"
"02.01.2020 00:15 - 02.01.2020 00:30","6016","5841"
"02.01.2020 00:30 - 02.01.2020 00:45","5912","5759"
"02.01.2020 00:45 - 02.01.2020 01:00","5820","5663"
"02.01.2020 01:00 - 02.01.2020 01:15","5824","5670"
"02.01.2020 01:15 - 02.01.2020 01:30","5744","5591"
"02.01.2020 01:30 - 02.01.2020 01:45","5676","5542"
"02.01.2020 01:45 - 02.01.2020 02:00","5620","5489"
"02.01.2020 02:00 - 02.01.2020 02:15","5728","5548"
"02.01.2020 02:15 - 02.01.2020 02:30","5668","5506"
"02.01.2020 02:30 - 02.01.2020 02:45","5612","5456"
"02.01.2020 02:45 - 02.01.2020 03:00","5560","5413"
"02.01.2020 03:00 - 02.01.2020 03:15","5544","5421"
"02.01.2020 03:15 - 02.01.2020 03:30","5524","5401"
"02.01.2020 03:30 - 02.01.2020 03:45","5520","5391"
"02.01.2020 03:45 - 02.01.2020 04:00","5528","5407"
"02.01.2020 04:00 - 02.01.2020 04:15","5572","5477"
"02.01.2020 04:15 - 02.01.2020 04:30","5604","5530"
"02.01.2020 04:30 - 02.01.2020 04:45","5668","5601"
"02.01.2020 04:45 - 02.01.2020 05:00","5748","5669"
"02.01.2020 05:00 - 02.01.2020 05:15","5856","5888"
"02.01.2020 05:15 - 02.01.2020 05:30","5972","6022"
"02.01.2020 05:30 - 02.01.2020 05:45","6100","6182"
"02.01.2020 05:45 - 02.01.2020 06:00","6244","6327"
"02.01.2020 06:00 - 02.01.2020 06:15","6412","6589"
"02.01.2020 06:15 - 02.01.2020 06:30","6592","6878"
"02.01.2020 06:30 - 02.01.2020 06:45","6784","6981"
"02.01.2020 06:45 - 02.01.2020 07:00","6936","7170"
"02.01.2020 07:00 - 02.01.2020 07:15","7152","7450"
"02.01.2020 07:15 - 02.01.2020 07:30","7296","7607"
"02.01.2020 07:30 - 02.01.2020 07:45","7412","7760"
"02.01.2020 07:45 - 02.01.2020 08:00","7504","7822"
"02.01.2020 08:00 - 02.01.2020 08:15","7596","7945"
"02.01.2020 08:15 - 02.01.2020 08:30","7676","8020"
"02.01.2020 08:30 - 02.01.2020 08:45","7744","8073"
"02.01.2020 08:45 - 02.01.2020 09:00","7816","8122"
"02.01.2020 09:00 - 02.01.2020 09:15","7876","8189"
"02.01.2020 09:15 - 02.01.2020 09:30","7912","8250"
"02.01.2020 09:30 - 02.01.2020 09:45","7940","8268"
"02.01.2020 09:45 - 02.01.2020 10:00","7956","8234"
"02.01.2020 10:00 - 02.01.2020 10:15","7976","8204"
"02.01.2020 10:15 - 02.01.2020 10:30","8000","8166"
"02.01.2020 10:30 - 02.01.2020 10:45","8012","8170"
"02.01.2020 10:45 - 02.01.2020 11:00","8036","8188"
"02.01.2020 11:00 - 02.01.2020 11:15","8016","8148"
"02.01.2020 11:15 - 02.01.2020 11:30","8044","8153"
"02.01.2020 11:30 - 02.01.2020 11:45","8036","8129"
"02.01.2020 11:45 - 02.01.2020 12:00","7988","8076"
"02.01.2020 12:00 - 02.01.2020 12:15","7968","8058"
"02.01.2020 12:15 - 02.01.2020 12:30","7892","7976"
"02.01.2020 12:30 - 02.01.2020 12:45","7828","7899"
"02.01.2020 12:45 - 02.01.2020 13:00","7784","7847"
"02.01.2020 13:00 - 02.01.2020 13:15","7772","7800"
"02.01.2020 13:15 - 02.01.2020 13:30","7740","7748"
"02.01.2020 13:30 - 02.01.2020 13:45","7708","7754"
"02.01.2020 13:45 - 02.01.2020 14:00","7684","7726"
"02.01.2020 14:00 - 02.01.2020 14:15","7660","7717"
"02.01.2020 14:15 - 02.01.2020 14:30","7652","7723"
"02.01.2020 14:30 - 02.01.2020 14:45","7636","7722"
"02.01.2020 14:45 - 02.01.2020 15:00","7632","7722"
"02.01.2020 15:00 - 02.01.2020 15:15","7652","7756"
"02.01.2020 15:15 - 02.01.2020 15:30","7668","7784"
"02.01.2020 15:30 - 02.01.2020 15:45","7700","7841"
"02.01.2020 15:45 - 02.01.2020 16:00","7752","7907"
"02.01.2020 16:00 - 02.01.2020 16:15","7824","8010"
"02.01.2020 16:15 - 02.01.2020 16:30","7916","8070"
"02.01.2020 16:30 - 02.01.2020 16:45","8032","8245"
"02.01.2020 16:45 - 02.01.2020 17:00","8156","8381"
"02.01.2020 17:00 - 02.01.2020 17:15","8228","8594"
"02.01.2020 17:15 - 02.01.2020 17:30","8272","8647"
"02.01.2020 17:30 - 02.01.2020 17:45","8292","8678"
"02.01.2020 17:45 - 02.01.2020 18:00","8292","8647"
"02.01.2020 18:00 - 02.01.2020 18:15","8268","8620"
"02.01.2020 18:15 - 02.01.2020 18:30","8208","8590"
"02.01.2020 18:30 - 02.01.2020 18:45","8156","8504"
"02.01.2020 18:45 - 02.01.2020 19:00","8092","8436"
"02.01.2020 19:00 - 02.01.2020 19:15","7912","8324"
"02.01.2020 19:15 - 02.01.2020 19:30","7812","8202"
"02.01.2020 19:30 - 02.01.2020 19:45","7720","8076"
"02.01.2020 19:45 - 02.01.2020 20:00","7620","7975"
"02.01.2020 20:00 - 02.01.2020 20:15","7508","7815"
"02.01.2020 20:15 - 02.01.2020 20:30","7392","7708"
"02.01.2020 20:30 - 02.01.2020 20:45","7292","7584"
"02.01.2020 20:45 - 02.01.2020 21:00","7168","7467"
"02.01.2020 21:00 - 02.01.2020 21:15","7040","7316"
"02.01.2020 21:15 - 02.01.2020 21:30","6916","7155"
"02.01.2020 21:30 - 02.01.2020 21:45","6780","7034"
"02.01.2020 21:45 - 02.01.2020 22:00","6712","6978"
"02.01.2020 22:00 - 02.01.2020 22:15","6928","7137"
"02.01.2020 22:15 - 02.01.2020 22:30","6880","7058"
"02.01.2020 22:30 - 02.01.2020 22:45","6752","6953"
"02.01.2020 22:45 - 02.01.2020 23:00","6644","6836"
"02.01.2020 23:00 - 02.01.2020 23:15","6584","6749"
"02.01.2020 23:15 - 02.01.2020 23:30","6456","6604"
"02.01.2020 23:30 - 02.01.2020 23:45","6340","6476"
"02.01.2020 23:45 - 03.01.2020 00:00","6348","6394"
"03.01.2020 00:00 - 03.01.2020 00:15","6128","6426"
"03.01.2020 00:15 - 03.01.2020 00:30","6016","6329"
"03.01.2020 00:30 - 03.01.2020 00:45","5912","6227"
"03.01.2020 00:45 - 03.01.2020 01:00","5820","6146"
"03.01.2020 01:00 - 03.01.2020 01:15","5824","6126"
"03.01.2020 01:15 - 03.01.2020 01:30","5744","6054"
"03.01.2020 01:30 - 03.01.2020 01:45","5676","6004"
"03.01.2020 01:45 - 03.01.2020 02:00","5620","5930"
"03.01.2020 02:00 - 03.01.2020 02:15","5728","5969"
"03.01.2020 02:15 - 03.01.2020 02:30","5668","5922"
"03.01.2020 02:30 - 03.01.2020 02:45","5612","5879"
"03.01.2020 02:45 - 03.01.2020 03:00","5560","5807"
"03.01.2020 03:00 - 03.01.2020 03:15","5544","5802"
"03.01.2020 03:15 - 03.01.2020 03:30","5524","5780"
"03.01.2020 03:30 - 03.01.2020 03:45","5520","5764"
"03.01.2020 03:45 - 03.01.2020 04:00","5528","5782"
"03.01.2020 04:00 - 03.01.2020 04:15","5572","5823"
"03.01.2020 04:15 - 03.01.2020 04:30","5604","5835"
"03.01.2020 04:30 - 03.01.2020 04:45","5668","5878"
"03.01.2020 04:45 - 03.01.2020 05:00","5748","5980"
"03.01.2020 05:00 - 03.01.2020 05:15","5856","6201"
"03.01.2020 05:15 - 03.01.2020 05:30","5972","6326"
"03.01.2020 05:30 - 03.01.2020 05:45","6100","6456"
"03.01.2020 05:45 - 03.01.2020 06:00","6244","6618"
"03.01.2020 06:00 - 03.01.2020 06:15","6412","6865"
"03.01.2020 06:15 - 03.01.2020 06:30","6592","7022"
"03.01.2020 06:30 - 03.01.2020 06:45","6784","7198"
"03.01.2020 06:45 - 03.01.2020 07:00","6936","7376"
"03.01.2020 07:00 - 03.01.2020 07:15","7152","7628"
"03.01.2020 07:15 - 03.01.2020 07:30","7296","7802"
"03.01.2020 07:30 - 03.01.2020 07:45","7412","7918"
"03.01.2020 07:45 - 03.01.2020 08:00","7504","8022"
"03.01.2020 08:00 - 03.01.2020 08:15","7596","8198"
"03.01.2020 08:15 - 03.01.2020 08:30","7676","8233"
"03.01.2020 08:30 - 03.01.2020 08:45","7744","8337"
"03.01.2020 08:45 - 03.01.2020 09:00","7816","8408"
"03.01.2020 09:00 - 03.01.2020 09:15","7876","8500"
"03.01.2020 09:15 - 03.01.2020 09:30","7912","8524"
"03.01.2020 09:30 - 03.01.2020 09:45","7940","8536"
"03.01.2020 09:45 - 03.01.2020 10:00","7956","8557"
"03.01.2020 10:00 - 03.01.2020 10:15","7976","8595"
"03.01.2020 10:15 - 03.01.2020 10:30","8000","8609"
"03.01.2020 10:30 - 03.01.2020 10:45","8012","8604"
"03.01.2020 10:45 - 03.01.2020 11:00","8036","8604"
"03.01.2020 11:00 - 03.01.2020 11:15","8016","8571"
"03.01.2020 11:15 - 03.01.2020 11:30","8044","8612"
"03.01.2020 11:30 - 03.01.2020 11:45","8036","8610"
"03.01.2020 11:45 - 03.01.2020 12:00","7988","8565"
"03.01.2020 12:00 - 03.01.2020 12:15","7968","8571"
"03.01.2020 12:15 - 03.01.2020 12:30","7892","8508"
"03.01.2020 12:30 - 03.01.2020 12:45","7828","8408"
"03.01.2020 12:45 - 03.01.2020 13:00","7784","8377"
"03.01.2020 13:00 - 03.01.2020 13:15","7772","8356"
"03.01.2020 13:15 - 03.01.2020 13:30","7740","8324"
"03.01.2020 13:30 - 03.01.2020 13:45","7708","8317"
"03.01.2020 13:45 - 03.01.2020 14:00","7684","8297"
"03.01.2020 14:00 - 03.01.2020 14:15","7660","8264"
"03.01.2020 14:15 - 03.01.2020 14:30","7652","8243"
"03.01.2020 14:30 - 03.01.2020 14:45","7636","8211"
"03.01.2020 14:45 - 03.01.2020 15:00","7632","8181"
"03.01.2020 15:00 - 03.01.2020 15:15","7652","8211"
"03.01.2020 15:15 - 03.01.2020 15:30","7668","8193"
"03.01.2020 15:30 - 03.01.2020 15:45","7700","8194"
"03.01.2020 15:45 - 03.01.2020 16:00","7752","8228"
"03.01.2020 16:00 - 03.01.2020 16:15","7824","8326"
"03.01.2020 16:15 - 03.01.2020 16:30","7916","8402"
"03.01.2020 16:30 - 03.01.2020 16:45","8032","8537"
"03.01.2020 16:45 - 03.01.2020 17:00","8156","8642"
"03.01.2020 17:00 - 03.01.2020 17:15","8228","8728"
"03.01.2020 17:15 - 03.01.2020 17:30","8272","8752"
"03.01.2020 17:30 - 03.01.2020 17:45","8292","8770"
"03.01.2020 17:45 - 03.01.2020 18:00","8292","8750"
"03.01.2020 18:00 - 03.01.2020 18:15","8268","8746"
"03.01.2020 18:15 - 03.01.2020 18:30","8208","8630"
"03.01.2020 18:30 - 03.01.2020 18:45","8156","8543"
"03.01.2020 18:45 - 03.01.2020 19:00","8092","8494"
"03.01.2020 19:00 - 03.01.2020 19:15","7912","8352"
"03.01.2020 19:15 - 03.01.2020 19:30","7812","8252"
"03.01.2020 19:30 - 03.01.2020 19:45","7720","8124"
"03.01.2020 19:45 - 03.01.2020 20:00","7620","7986"
"03.01.2020 20:00 - 03.01.2020 20:15","7508","7828"
"03.01.2020 20:15 - 03.01.2020 20:30","7392","7684"
"03.01.2020 20:30 - 03.01.2020 20:45","7292","7635"
"03.01.2020 20:45 - 03.01.2020 21:00","7168","7476"
"03.01.2020 21:00 - 03.01.2020 21:15","7040","7348"
"03.01.2020 21:15 - 03.01.2020 21:30","6916","7187"
"03.01.2020 21:30 - 03.01.2020 21:45","6780","7108"
"03.01.2020 21:45 - 03.01.2020 22:00","6712","7047"
"03.01.2020 22:00 - 03.01.2020 22:15","6928","7182"
"03.01.2020 22:15 - 03.01.2020 22:30","6880","7104"
"03.01.2020 22:30 - 03.01.2020 22:45","6752","6990"
"03.01.2020 22:45 - 03.01.2020 23:00","6644","6870"
"03.01.2020 23:00 - 03.01.2020 23:15","6584","6795"
"03.01.2020 23:15 - 03.01.2020 23:30","6456","6634"
"03.01.2020 23:30 - 03.01.2020 23:45","6340","6521"
"03.01.2020 23:45 - 04.01.2020 00:00","6232","6413"
"04.01.2020 00:00 - 04.01.2020 00:15","6200","6406"
"04.01.2020 00:15 - 04.01.2020 00:30","6080","6333"
"04.01.2020 00:30 - 04.01.2020 00:45","5968","6193"
"04.01.2020 00:45 - 04.01.2020 01:00","5868","6102"
"04.01.2020 01:00 - 04.01.2020 01:15","5860","6097"
"04.01.2020 01:15 - 04.01.2020 01:30","5764","5986"
"04.01.2020 01:30 - 04.01.2020 01:45","5680","5885"
"04.01.2020 01:45 - 04.01.2020 02:00","5608","5844"
"04.01.2020 02:00 - 04.01.2020 02:15","5680","5874"
"04.01.2020 02:15 - 04.01.2020 02:30","5612","5837"
"04.01.2020 02:30 - 04.01.2020 02:45","5540","5768"
"04.01.2020 02:45 - 04.01.2020 03:00","5484","5692"
"04.01.2020 03:00 - 04.01.2020 03:15","5472","5623"
"04.01.2020 03:15 - 04.01.2020 03:30","5436","5586"
"04.01.2020 03:30 - 04.01.2020 03:45","5416","5622"
"04.01.2020 03:45 - 04.01.2020 04:00","5412","5572"
"04.01.2020 04:00 - 04.01.2020 04:15","5512","5581"
"04.01.2020 04:15 - 04.01.2020 04:30","5532","5604"
"04.01.2020 04:30 - 04.01.2020 04:45","5568","5632"
"04.01.2020 04:45 - 04.01.2020 05:00","5616","5690"
"04.01.2020 05:00 - 04.01.2020 05:15","5628","5770"
"04.01.2020 05:15 - 04.01.2020 05:30","5692","5843"
"04.01.2020 05:30 - 04.01.2020 05:45","5772","5904"
"04.01.2020 05:45 - 04.01.2020 06:00","5852","5986"
"04.01.2020 06:00 - 04.01.2020 06:15","5900","6082"
"04.01.2020 06:15 - 04.01.2020 06:30","6024","6160"
"04.01.2020 06:30 - 04.01.2020 06:45","6160","6328"
"04.01.2020 06:45 - 04.01.2020 07:00","6300","6420"
"04.01.2020 07:00 - 04.01.2020 07:15","6556","6638"
"04.01.2020 07:15 - 04.01.2020 07:30","6680","6774"
"04.01.2020 07:30 - 04.01.2020 07:45","6804","6876"
"04.01.2020 07:45 - 04.01.2020 08:00","6924","6997"
"04.01.2020 08:00 - 04.01.2020 08:15","7028","7228"
"04.01.2020 08:15 - 04.01.2020 08:30","7128","7315"
"04.01.2020 08:30 - 04.01.2020 08:45","7236","7424"
"04.01.2020 08:45 - 04.01.2020 09:00","7336","7533"
"04.01.2020 09:00 - 04.01.2020 09:15","7416","7701"
"04.01.2020 09:15 - 04.01.2020 09:30","7468","7749"
"04.01.2020 09:30 - 04.01.2020 09:45","7516","7779"
"04.01.2020 09:45 - 04.01.2020 10:00","7552","7844"
"04.01.2020 10:00 - 04.01.2020 10:15","7584","7889"
"04.01.2020 10:15 - 04.01.2020 10:30","7616","7915"
"04.01.2020 10:30 - 04.01.2020 10:45","7636","7946"
"04.01.2020 10:45 - 04.01.2020 11:00","7668","7980"
"04.01.2020 11:00 - 04.01.2020 11:15","7684","8041"
"04.01.2020 11:15 - 04.01.2020 11:30","7720","8127"
"04.01.2020 11:30 - 04.01.2020 11:45","7712","8141"
"04.01.2020 11:45 - 04.01.2020 12:00","7672","8087"
"04.01.2020 12:00 - 04.01.2020 12:15","7688","8120"
"04.01.2020 12:15 - 04.01.2020 12:30","7596","8074"
"04.01.2020 12:30 - 04.01.2020 12:45","7516","8043"
"04.01.2020 12:45 - 04.01.2020 13:00","7464","7976"
"04.01.2020 13:00 - 04.01.2020 13:15","7448","7952"
"04.01.2020 13:15 - 04.01.2020 13:30","7408","7963"
"04.01.2020 13:30 - 04.01.2020 13:45","7360","7958"
"04.01.2020 13:45 - 04.01.2020 14:00","7308","7951"
"04.01.2020 14:00 - 04.01.2020 14:15","7276","7865"
"04.01.2020 14:15 - 04.01.2020 14:30","7248","7818"
"04.01.2020 14:30 - 04.01.2020 14:45","7272","7821"
"04.01.2020 14:45 - 04.01.2020 15:00","7264","7781"
"04.01.2020 15:00 - 04.01.2020 15:15","7292","7804"
"04.01.2020 15:15 - 04.01.2020 15:30","7296","7790"
"04.01.2020 15:30 - 04.01.2020 15:45","7344","7809"
"04.01.2020 15:45 - 04.01.2020 16:00","7388","7857"
