"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2016 00:00 - 01.01.2016 00:15","40575","44019"
"01.01.2016 00:15 - 01.01.2016 00:30","40599","43827"
"01.01.2016 00:30 - 01.01.2016 00:45","39943","43654"
"01.01.2016 00:45 - 01.01.2016 01:00","39398","43427"
"01.01.2016 01:00 - 01.01.2016 01:15","38896","42782"
"01.01.2016 01:15 - 01.01.2016 01:30","38212","42057"
"01.01.2016 01:30 - 01.01.2016 01:45","37950","41647"
"01.01.2016 01:45 - 01.01.2016 02:00","37592","41362"
"01.01.2016 02:00 - 01.01.2016 02:15","37214","40897"
"01.01.2016 02:15 - 01.01.2016 02:30","36773","40440"
"01.01.2016 02:30 - 01.01.2016 02:45","36574","39978"
"01.01.2016 02:45 - 01.01.2016 03:00","36515","39575"
"01.01.2016 03:00 - 01.01.2016 03:15","36584","39805"
"01.01.2016 03:15 - 01.01.2016 03:30","36488","39301"
"01.01.2016 03:30 - 01.01.2016 03:45","36423","39049"
"01.01.2016 03:45 - 01.01.2016 04:00","36315","38817"
"01.01.2016 04:00 - 01.01.2016 04:15","36386","38964"
"01.01.2016 04:15 - 01.01.2016 04:30","36676","38785"
"01.01.2016 04:30 - 01.01.2016 04:45","36545","38628"
"01.01.2016 04:45 - 01.01.2016 05:00","36704","38621"
"01.01.2016 05:00 - 01.01.2016 05:15","37069","38653"
"01.01.2016 05:15 - 01.01.2016 05:30","37128","38227"
"01.01.2016 05:30 - 01.01.2016 05:45","37204","37930"
"01.01.2016 05:45 - 01.01.2016 06:00","37291","37430"
"01.01.2016 06:00 - 01.01.2016 06:15","37751","36838"
"01.01.2016 06:15 - 01.01.2016 06:30","38390","36527"
"01.01.2016 06:30 - 01.01.2016 06:45","39111","36682"
"01.01.2016 06:45 - 01.01.2016 07:00","39328","36709"
"01.01.2016 07:00 - 01.01.2016 07:15","40319","36714"
"01.01.2016 07:15 - 01.01.2016 07:30","41005","36957"
"01.01.2016 07:30 - 01.01.2016 07:45","42184","36892"
"01.01.2016 07:45 - 01.01.2016 08:00","42236","37137"
"01.01.2016 08:00 - 01.01.2016 08:15","43186","37165"
"01.01.2016 08:15 - 01.01.2016 08:30","43400","37136"
"01.01.2016 08:30 - 01.01.2016 08:45","43614","37678"
"01.01.2016 08:45 - 01.01.2016 09:00","44049","38437"
"01.01.2016 09:00 - 01.01.2016 09:15","44509","38667"
"01.01.2016 09:15 - 01.01.2016 09:30","45324","39248"
"01.01.2016 09:30 - 01.01.2016 09:45","45609","40011"
"01.01.2016 09:45 - 01.01.2016 10:00","46212","40501"
"01.01.2016 10:00 - 01.01.2016 10:15","46453","41112"
"01.01.2016 10:15 - 01.01.2016 10:30","47467","41820"
"01.01.2016 10:30 - 01.01.2016 10:45","47807","42665"
"01.01.2016 10:45 - 01.01.2016 11:00","48141","43676"
"01.01.2016 11:00 - 01.01.2016 11:15","48864","44229"
"01.01.2016 11:15 - 01.01.2016 11:30","49586","45075"
"01.01.2016 11:30 - 01.01.2016 11:45","50188","45854"
"01.01.2016 11:45 - 01.01.2016 12:00","50304","46235"
"01.01.2016 12:00 - 01.01.2016 12:15","50181","46418"
"01.01.2016 12:15 - 01.01.2016 12:30","49865","46326"
"01.01.2016 12:30 - 01.01.2016 12:45","49411","46097"
"01.01.2016 12:45 - 01.01.2016 13:00","49188","45957"
"01.01.2016 13:00 - 01.01.2016 13:15","48756","45673"
"01.01.2016 13:15 - 01.01.2016 13:30","48901","45375"
"01.01.2016 13:30 - 01.01.2016 13:45","48185","45473"
"01.01.2016 13:45 - 01.01.2016 14:00","47255","45433"
"01.01.2016 14:00 - 01.01.2016 14:15","47158","45476"
"01.01.2016 14:15 - 01.01.2016 14:30","46946","45374"
"01.01.2016 14:30 - 01.01.2016 14:45","46437","45364"
"01.01.2016 14:45 - 01.01.2016 15:00","47132","45140"
"01.01.2016 15:00 - 01.01.2016 15:15","46196","45720"
"01.01.2016 15:15 - 01.01.2016 15:30","46702","45921"
"01.01.2016 15:30 - 01.01.2016 15:45","45996","46162"
"01.01.2016 15:45 - 01.01.2016 16:00","46186","46278"
"01.01.2016 16:00 - 01.01.2016 16:15","46495","46885"
"01.01.2016 16:15 - 01.01.2016 16:30","47308","48035"
"01.01.2016 16:30 - 01.01.2016 16:45","48005","49215"
"01.01.2016 16:45 - 01.01.2016 17:00","49453","50389"
"01.01.2016 17:00 - 01.01.2016 17:15","50309","51453"
"01.01.2016 17:15 - 01.01.2016 17:30","50529","52047"
"01.01.2016 17:30 - 01.01.2016 17:45","51361","52517"
"01.01.2016 17:45 - 01.01.2016 18:00","51044","52659"
"01.01.2016 18:00 - 01.01.2016 18:15","51346","53037"
"01.01.2016 18:15 - 01.01.2016 18:30","51555","52934"
"01.01.2016 18:30 - 01.01.2016 18:45","51412","52930"
"01.01.2016 18:45 - 01.01.2016 19:00","51130","52288"
"01.01.2016 19:00 - 01.01.2016 19:15","50914","52266"
"01.01.2016 19:15 - 01.01.2016 19:30","49790","51485"
"01.01.2016 19:30 - 01.01.2016 19:45","49617","51061"
"01.01.2016 19:45 - 01.01.2016 20:00","49073","50383"
"01.01.2016 20:00 - 01.01.2016 20:15","47743","50659"
"01.01.2016 20:15 - 01.01.2016 20:30","47058","49805"
"01.01.2016 20:30 - 01.01.2016 20:45","46237","48676"
"01.01.2016 20:45 - 01.01.2016 21:00","45752","47999"
"01.01.2016 21:00 - 01.01.2016 21:15","45265","48375"
"01.01.2016 21:15 - 01.01.2016 21:30","45094","47974"
"01.01.2016 21:30 - 01.01.2016 21:45","44471","47498"
"01.01.2016 21:45 - 01.01.2016 22:00","44529","47163"
"01.01.2016 22:00 - 01.01.2016 22:15","46717","48413"
"01.01.2016 22:15 - 01.01.2016 22:30","46567","48043"
"01.01.2016 22:30 - 01.01.2016 22:45","46047","47049"
"01.01.2016 22:45 - 01.01.2016 23:00","45296","46068"
"01.01.2016 23:00 - 01.01.2016 23:15","44583","45700"
"01.01.2016 23:15 - 01.01.2016 23:30","44041","44775"
"01.01.2016 23:30 - 01.01.2016 23:45","42882","43497"
"01.01.2016 23:45 - 02.01.2016 00:00","42154","42680"
"02.01.2016 00:00 - 02.01.2016 00:15","40271","42129"
"02.01.2016 00:15 - 02.01.2016 00:30","40239","40994"
"02.01.2016 00:30 - 02.01.2016 00:45","39889","40601"
"02.01.2016 00:45 - 02.01.2016 01:00","39590","40006"
"02.01.2016 01:00 - 02.01.2016 01:15","39343","39838"
"02.01.2016 01:15 - 02.01.2016 01:30","38719","39069"
"02.01.2016 01:30 - 02.01.2016 01:45","38790","38552"
"02.01.2016 01:45 - 02.01.2016 02:00","38565","38327"
"02.01.2016 02:00 - 02.01.2016 02:15","38325","38570"
"02.01.2016 02:15 - 02.01.2016 02:30","37484","38410"
"02.01.2016 02:30 - 02.01.2016 02:45","37764","37945"
"02.01.2016 02:45 - 02.01.2016 03:00","37469","37709"
"02.01.2016 03:00 - 02.01.2016 03:15","37546","37844"
"02.01.2016 03:15 - 02.01.2016 03:30","37074","37857"
"02.01.2016 03:30 - 02.01.2016 03:45","37074","37798"
"02.01.2016 03:45 - 02.01.2016 04:00","37320","37879"
"02.01.2016 04:00 - 02.01.2016 04:15","36827","38550"
"02.01.2016 04:15 - 02.01.2016 04:30","37584","38600"
"02.01.2016 04:30 - 02.01.2016 04:45","36746","38826"
"02.01.2016 04:45 - 02.01.2016 05:00","36820","39070"
"02.01.2016 05:00 - 02.01.2016 05:15","37007","39344"
"02.01.2016 05:15 - 02.01.2016 05:30","36606","39425"
"02.01.2016 05:30 - 02.01.2016 05:45","36732","39751"
"02.01.2016 05:45 - 02.01.2016 06:00","36746","40127"
"02.01.2016 06:00 - 02.01.2016 06:15","36388","40232"
"02.01.2016 06:15 - 02.01.2016 06:30","35902","40177"
"02.01.2016 06:30 - 02.01.2016 06:45","36371","40704"
"02.01.2016 06:45 - 02.01.2016 07:00","37091","41389"
"02.01.2016 07:00 - 02.01.2016 07:15","37640","42517"
"02.01.2016 07:15 - 02.01.2016 07:30","38186","43247"
"02.01.2016 07:30 - 02.01.2016 07:45","39570","43859"
"02.01.2016 07:45 - 02.01.2016 08:00","40211","45200"
