Date,at_generation,at_day_ahead_generation
"Jan 5, 2015","1,80,949","1,47,254"
"Jan 6, 2015","1,47,254","1,77,848"
"Jan 7, 2015","1,77,848","1,45,190"
"Jan 8, 2015","1,45,190","1,62,057"
"Jan 9, 2015","1,62,057","1,53,973"
"Jan 10, 2015","1,53,973","1,44,365"
"Jan 11, 2015","1,44,365","1,84,003"
"Jan 12, 2015","1,84,003","1,65,043"
"Jan 13, 2015","1,65,043","1,53,237"
"Jan 14, 2015","1,53,237","1,43,299"
"Jan 15, 2015","1,43,299","1,68,213"
"Jan 16, 2015","1,68,213","1,53,201"
"Jan 17, 2015","1,53,201","1,24,764"
"Jan 18, 2015","1,24,764","1,89,950"
"Jan 19, 2015","1,89,950","2,00,265"
"Jan 20, 2015","2,00,265","1,87,781"
"Jan 21, 2015","1,87,781","1,90,441"
"Jan 22, 2015","1,90,441","1,96,766"
"Jan 23, 2015","1,96,766","1,56,833"
"Jan 24, 2015","1,56,833","1,46,766"
"Jan 25, 2015","1,46,766","1,56,759"
"Jan 26, 2015","1,56,759","1,66,623"
"Jan 27, 2015","1,66,623","1,55,100"
"Jan 28, 2015","1,55,100","1,67,034"
"Jan 29, 2015","1,67,034","1,93,973"
"Jan 30, 2015","1,93,973","1,23,513"
"Jan 31, 2015","1,23,513","1,04,436"
"Feb 1, 2015","1,04,436","1,50,346"
"Feb 2, 2015","1,50,346","1,58,849"
"Feb 3, 2015","1,58,849","1,63,833"
"Feb 4, 2015","1,63,833","1,62,788"
"Feb 5, 2015","1,62,788","1,66,213"
"Feb 6, 2015","1,66,213","1,25,657"
"Feb 7, 2015","1,25,657","1,29,313"
"Feb 8, 2015","1,29,313","1,69,285"
"Feb 9, 2015","1,69,285","1,78,357"
"Feb 10, 2015","1,78,357","1,73,014"
"Feb 11, 2015","1,73,014","1,71,574"
"Feb 12, 2015","1,71,574","1,60,316"
"Feb 13, 2015","1,60,316","1,22,358"
"Feb 14, 2015","1,22,358","1,10,581"
"Feb 15, 2015","1,10,581","1,32,482"
"Feb 16, 2015","1,32,482","1,74,555"
"Feb 17, 2015","1,74,555","1,60,733"
"Feb 18, 2015","1,60,733","1,45,837"
"Feb 19, 2015","1,45,837","1,27,382"
"Feb 20, 2015","1,27,382","1,28,961"
"Feb 21, 2015","1,28,961","1,07,430"
"Feb 22, 2015","1,07,430","1,30,338"
"Feb 23, 2015","1,30,338","1,31,187"
"Feb 24, 2015","1,31,187","1,78,434"
"Feb 25, 2015","1,78,434","1,51,491"
"Feb 26, 2015","1,51,491","1,49,064"
"Feb 27, 2015","1,49,064","1,01,490"
"Feb 28, 2015","1,01,490","86,147"
"Mar 1, 2015","86,147","1,35,436"
"Mar 2, 2015","1,35,436","1,44,840"
"Mar 3, 2015","1,44,840","1,47,570"
"Mar 4, 2015","1,47,570","1,65,988"
"Mar 5, 2015","1,65,988","1,71,974"
"Mar 6, 2015","1,71,974","1,08,316"
"Mar 7, 2015","1,08,316","92,379"
"Mar 8, 2015","92,379","1,47,555"
"Mar 9, 2015","1,47,555","1,38,024"
"Mar 10, 2015","1,38,024","1,54,122"
"Mar 11, 2015","1,54,122","1,70,666"
"Mar 12, 2015","1,70,666","1,59,136"
"Mar 13, 2015","1,59,136","1,12,210"
"Mar 14, 2015","1,12,210","1,14,425"
"Mar 15, 2015","1,14,425","1,48,310"
"Mar 16, 2015","1,48,310","1,53,368"
"Mar 17, 2015","1,53,368","1,24,683"
"Mar 18, 2015","1,24,683","1,26,728"
"Mar 19, 2015","1,26,728","1,24,260"
"Mar 20, 2015","1,24,260","1,07,233"
"Mar 21, 2015","1,07,233","1,12,118"
"Mar 22, 2015","1,12,118","1,49,618"
"Mar 23, 2015","1,49,618","1,62,069"
"Mar 24, 2015","1,62,069","1,62,871"
"Mar 25, 2015","1,62,871","1,59,251"
"Mar 26, 2015","1,59,251","1,68,133"
"Mar 27, 2015","1,68,133","1,50,889"
"Mar 28, 2015","1,50,889","95,101"
"Mar 29, 2015","95,101","1,67,316"
"Mar 30, 2015","1,67,316","1,71,318"
"Mar 31, 2015","1,71,318","2,06,536"
"Apr 1, 2015","2,06,536","1,86,441"
"Apr 2, 2015","1,86,441","1,60,598"
"Apr 3, 2015","1,60,598","1,31,039"
"Apr 4, 2015","1,31,039","1,31,098"
"Apr 5, 2015","1,31,098","1,28,900"
"Apr 6, 2015","1,28,900","1,65,494"
"Apr 7, 2015","1,65,494","1,72,645"
"Apr 8, 2015","1,72,645","1,44,114"
"Apr 9, 2015","1,44,114","1,45,848"
"Apr 10, 2015","1,45,848","1,21,073"
"Apr 11, 2015","1,21,073","1,32,764"
"Apr 12, 2015","1,32,764","1,64,150"
"Apr 13, 2015","1,64,150","1,62,233"
"Apr 14, 2015","1,62,233","1,52,664"
"Apr 15, 2015","1,52,664","1,62,134"
"Apr 16, 2015","1,62,134","1,63,681"
"Apr 17, 2015","1,63,681","1,50,639"
"Apr 18, 2015","1,50,639","1,36,576"
"Apr 19, 2015","1,36,576","1,70,776"
"Apr 20, 2015","1,70,776","1,65,847"
"Apr 21, 2015","1,65,847","1,53,210"
"Apr 22, 2015","1,53,210","1,49,871"
"Apr 23, 2015","1,49,871","1,56,834"
"Apr 24, 2015","1,56,834","1,36,918"
"Apr 25, 2015","1,36,918","1,28,159"
"Apr 26, 2015","1,28,159","1,71,085"
"Apr 27, 2015","1,71,085","1,88,264"
"Apr 28, 2015","1,88,264","1,78,676"
"Apr 29, 2015","1,78,676","1,71,977"
"Apr 30, 2015","1,71,977","1,26,984"
"May 1, 2015","1,26,984","1,38,482"
"May 2, 2015","1,38,482","1,32,765"
"May 3, 2015","1,32,765","1,54,827"
"May 4, 2015","1,54,827","1,69,623"
"May 5, 2015","1,69,623","1,74,895"
"May 6, 2015","1,74,895","1,68,924"
"May 7, 2015","1,68,924","1,64,692"
"May 8, 2015","1,64,692","1,46,457"
"May 9, 2015","1,46,457","1,65,118"
"May 10, 2015","1,65,118","1,67,803"
"May 11, 2015","1,67,803","1,66,323"
"May 12, 2015","1,66,323","1,68,907"
"May 13, 2015","1,68,907","1,48,950"
"May 14, 2015","1,48,950","1,69,751"
"May 15, 2015","1,69,751","1,46,734"
"May 16, 2015","1,46,734","1,47,579"
"May 17, 2015","1,47,579","1,59,007"
"May 18, 2015","1,59,007","1,57,366"
"May 19, 2015","1,57,366","1,80,979"
"May 20, 2015","1,80,979","1,93,983"
"May 21, 2015","1,93,983","2,06,033"
"May 22, 2015","2,06,033","1,82,239"
"May 23, 2015","1,82,239","1,51,510"
"May 24, 2015","1,51,510","1,60,723"
"May 25, 2015","1,60,723","1,94,151"
"May 26, 2015","1,94,151","2,07,980"
"May 27, 2015","2,07,980","1,70,211"
"May 28, 2015","1,70,211","1,68,595"
"May 29, 2015","1,68,595","1,43,347"
"May 30, 2015","1,43,347","1,37,495"
"May 31, 2015","1,37,495","1,56,497"
"Jun 1, 2015","1,56,497","1,41,263"
"Jun 2, 2015","1,41,263","1,69,522"
"Jun 3, 2015","1,69,522","1,60,419"
"Jun 4, 2015","1,60,419","1,63,571"
"Jun 5, 2015","1,63,571","1,47,629"
"Jun 6, 2015","1,47,629","1,40,343"
"Jun 7, 2015","1,40,343","1,67,257"
"Jun 8, 2015","1,67,257","1,71,278"
"Jun 9, 2015","1,71,278","1,65,049"
"Jun 10, 2015","1,65,049","1,61,469"
"Jun 11, 2015","1,61,469","1,64,328"
"Jun 12, 2015","1,64,328","1,33,901"
"Jun 13, 2015","1,33,901","1,30,421"
"Jun 14, 2015","1,30,421","1,65,414"
"Jun 15, 2015","1,65,414","1,70,680"
"Jun 16, 2015","1,70,680","1,61,835"
"Jun 17, 2015","1,61,835","1,60,487"
"Jun 18, 2015","1,60,487","1,66,569"
"Jun 19, 2015","1,66,569","1,46,828"
"Jun 20, 2015","1,46,828","1,45,614"
"Jun 21, 2015","1,45,614","1,66,858"
"Jun 22, 2015","1,66,858","1,68,113"
"Jun 23, 2015","1,68,113","1,64,695"
"Jun 24, 2015","1,64,695","1,71,127"
"Jun 25, 2015","1,71,127","1,61,879"
"Jun 26, 2015","1,61,879","1,35,617"
"Jun 27, 2015","1,35,617","1,39,584"
"Jun 28, 2015","1,39,584","1,39,069"
"Jun 29, 2015","1,39,069","1,34,733"
"Jun 30, 2015","1,34,733","1,43,764"
"Jul 1, 2015","1,43,764","1,41,809"
"Jul 2, 2015","1,41,809","1,50,500"
"Jul 3, 2015","1,50,500","1,27,665"
"Jul 4, 2015","1,27,665","1,13,689"
"Jul 5, 2015","1,13,689","1,41,724"
"Jul 6, 2015","1,41,724","1,40,404"
"Jul 7, 2015","1,40,404","1,42,635"
"Jul 8, 2015","1,42,635","1,56,039"
"Jul 9, 2015","1,56,039","1,44,779"
"Jul 10, 2015","1,44,779","1,11,510"
"Jul 11, 2015","1,11,510","1,02,706"
"Jul 12, 2015","1,02,706","1,51,030"
"Jul 13, 2015","1,51,030","1,35,585"
"Jul 14, 2015","1,35,585","1,53,311"
"Jul 15, 2015","1,53,311","1,36,592"
"Jul 16, 2015","1,36,592","1,27,146"
"Jul 17, 2015","1,27,146","1,09,849"
"Jul 18, 2015","1,09,849","1,03,557"
"Jul 19, 2015","1,03,557","1,49,980"
"Jul 20, 2015","1,49,980","1,33,255"
"Jul 21, 2015","1,33,255","1,34,799"
"Jul 22, 2015","1,34,799","1,36,837"
"Jul 23, 2015","1,36,837","1,26,654"
"Jul 24, 2015","1,26,654","1,11,612"
"Jul 25, 2015","1,11,612","1,14,351"
"Jul 26, 2015","1,14,351","1,17,497"
"Jul 27, 2015","1,17,497","1,17,169"
"Jul 28, 2015","1,17,169","1,21,803"
"Jul 29, 2015","1,21,803","1,14,547"
"Jul 30, 2015","1,14,547","1,36,550"
"Jul 31, 2015","1,36,550","1,27,383"
"Aug 1, 2015","1,27,383","1,05,603"
"Aug 2, 2015","1,05,603","1,23,923"
"Aug 3, 2015","1,23,923","1,43,971"
