Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;12:00 AM;7,222;43,289;3,886.25;180.25;0;322.75;19,883;2,078.5;15,078.5
Jan 2, 2015;12:00 AM;12:00 AM;7,226;41,788.25;15,884.25;279;0;321.5;45,724.75;907.75;6,806
Jan 3, 2015;12:00 AM;12:00 AM;7,297;51,471.25;17,028.75;320.5;0;334;33,124.25;7,889;10,810.75
Jan 4, 2015;12:00 AM;12:00 AM;7,339;64,624.75;36,524;224.5;0;328.25;23,041;4,774.5;11,733
Jan 5, 2015;12:00 AM;12:00 AM;7,339;74,820.5;36,322.25;276.75;0;3,031.75;38,973;8,812.5;11,373.5
Jan 6, 2015;12:00 AM;12:00 AM;7,392;71,150.75;12,015;308.25;0;3,530.75;38,817.75;2,705.25;11,334.25
Jan 7, 2015;12:00 AM;12:00 AM;7,382;76,071;9,607.5;279.25;0;10,291.5;48,282.5;18,041.75;7,892.25
Jan 8, 2015;12:00 AM;12:00 AM;7,347;70,386.75;8,701;323.25;0;9,894.25;32,171.25;11,346.5;5,019.75
Jan 9, 2015;12:00 AM;12:00 AM;7,379;67,719.5;28,092.75;515.25;0;329.5;36,719;8,228;13,073.75
Jan 10, 2015;12:00 AM;12:00 AM;7,381;71,997.25;36,917.5;628.25;0;333.75;22,084;843;13,787.75
Jan 11, 2015;12:00 AM;12:00 AM;7,444;71,493.75;35,179.75;358;0;365.25;20,033.75;721.25;8,768.75
Jan 12, 2015;12:00 AM;12:00 AM;7,420;84,444.25;28,273;505.25;0;1,103.5;33,873.25;12,570.5;15,812.75
Jan 13, 2015;12:00 AM;12:00 AM;7,488;85,564.75;8,015.75;737.25;0;1,426.5;39,944.5;7,399;14,467.25
Jan 14, 2015;12:00 AM;12:00 AM;7,468;86,425.75;9,193.75;577.5;0;320;26,545;11,730.5;10,976.25
Jan 15, 2015;12:00 AM;12:00 AM;7,405;79,638.5;19,428.75;529.5;0;322.25;19,650;5,481.75;10,843.5
Jan 16, 2015;12:00 AM;12:00 AM;7,262;81,468.5;15,523.5;680.75;0;12,476;30,948.75;13,727.75;6,125.75
Jan 17, 2015;12:00 AM;12:00 AM;7,536;73,290.25;19,168.25;437.5;0;12,897.5;29,917;5,807.5;4,146.5
Jan 18, 2015;12:00 AM;12:00 AM;7,522;69,359.25;3,585;498.75;0;5,471.5;27,974.5;3,742.25;6,610.75
Jan 19, 2015;12:00 AM;12:00 AM;7,510;83,873.25;285.75;440;0;18,017;45,611;26,551;7,661.75
Jan 20, 2015;12:00 AM;12:00 AM;7,573;83,362.75;6,011.25;345;0;20,962.25;50,306.75;25,995.5;5,708.75
Jan 21, 2015;12:00 AM;12:00 AM;7,533;77,804;3,479.75;651.75;0;21,102.75;49,076.5;22,141.5;5,991.5
Jan 22, 2015;12:00 AM;12:00 AM;7,548;72,710.5;8,787.75;571.25;0;19,763.5;49,187.5;24,724;7,148.75
Jan 23, 2015;12:00 AM;12:00 AM;7,560;74,708.75;24,282.25;534.75;0;19,570.5;46,857;20,226.5;3,025.75
Jan 24, 2015;12:00 AM;12:00 AM;7,557;62,157.25;39,848;396;0;7,634;33,695;5,129.75;415.75
Jan 25, 2015;12:00 AM;12:00 AM;7,602;56,086.25;36,438.25;362.75;0;5,915.25;31,547.25;4,423.5;4,390.25
Jan 26, 2015;12:00 AM;12:00 AM;7,619;58,963.75;8,872.25;645.75;0;11,464.25;50,432.5;12,219.75;6,542
Jan 27, 2015;12:00 AM;12:00 AM;7,546;57,844.75;12,489.75;507;0;17,780.25;51,694.75;13,405;5,355.75
Jan 28, 2015;12:00 AM;12:00 AM;7,473;54,468.75;13,943.75;703.25;0;15,374.25;47,132.75;6,437.5;9,566.5
Jan 29, 2015;12:00 AM;12:00 AM;7,366;55,838.5;16,034.75;469;0;15,495;48,524;15,603.25;7,703.25
Jan 30, 2015;12:00 AM;12:00 AM;7,550;61,620.5;26,671.75;345;0;18,514.75;54,169;21,850.5;3,251.5
Jan 31, 2015;12:00 AM;12:00 AM;7,564;56,691.75;8,905.25;634.5;0;7,099.5;32,251.25;6,859.5;3,507
Feb 1, 2015;12:00 AM;12:00 AM;7,526;51,975.75;1,792.25;592;0;7,738.5;30,490.5;1,996.25;2,325
Feb 2, 2015;12:00 AM;12:00 AM;7,498;58,206;8,451.75;622.25;0;16,863;39,961.75;13,873.25;4,869.5
Feb 3, 2015;12:00 AM;12:00 AM;7,467;57,947.75;6,142;880;0;16,484.5;49,279.25;17,679.75;2,969
Feb 4, 2015;12:00 AM;12:00 AM;7,518;54,572.75;5,501.25;753.5;0;21,627.25;52,734;20,519.75;606.5
Feb 5, 2015;12:00 AM;12:00 AM;7,557;53,908.5;8,537.25;563.25;0;21,465.75;51,469;16,810.25;2,476.5
Feb 6, 2015;12:00 AM;12:00 AM;7,581;51,403.75;25,449;601.5;0;19,308.5;47,614;12,855.5;1,399.75
Feb 7, 2015;12:00 AM;12:00 AM;7,580;47,007.75;20,576.75;933.25;0;2,995.75;34,437.75;4,081;8,044.5
Feb 8, 2015;12:00 AM;12:00 AM;7,519;45,190;42,516.25;791.75;0;1,984.5;25,785.25;2,034.5;3,491.75
Feb 9, 2015;12:00 AM;12:00 AM;7,436;46,557.5;39,881;565.25;0;12,448.75;50,862.5;10,544;989.75
Feb 10, 2015;12:00 AM;12:00 AM;7,479;47,139.75;38,485.75;680.25;0;18,480.75;48,924.5;12,922;4,245
Feb 11, 2015;12:00 AM;12:00 AM;7,498;50,938.5;8,267;1,250.75;0;21,708.75;55,259;21,720.25;6,371.5
Feb 12, 2015;12:00 AM;12:00 AM;7,460;50,005;13,821.5;969.75;0;21,879.75;50,010.75;21,818.25;5,608.5
Feb 13, 2015;12:00 AM;12:00 AM;7,508;47,928.75;21,120.5;1,233;0;21,175;45,485;13,256.25;2,609.75
Feb 14, 2015;12:00 AM;12:00 AM;7,113;44,287.25;24,861.25;1,428.5;0;8,290.75;31,413.75;3,589;1,374.25
Feb 15, 2015;12:00 AM;12:00 AM;7,228;42,635.25;18,480.25;1,466.5;0;6,020.5;27,249.5;1,776;5,725
Feb 16, 2015;12:00 AM;12:00 AM;7,198;47,716.25;8,250.5;1,656;0;12,121;39,021.5;14,222.75;2,295.5
Feb 17, 2015;12:00 AM;12:00 AM;7,390;54,833;19,164.25;1,607;0;20,126.5;47,750.75;19,907;3,776
