Date,at_load,at_day_ahead_load
"Jan 5, 2015","1,63,037.75","1,42,329.75"
"Jan 6, 2015","1,42,329.75","1,73,957.75"
"Jan 7, 2015","1,73,957.75","1,79,527.50"
"Jan 8, 2015","1,79,527.50","1,53,844.50"
"Jan 9, 2015","1,53,844.50","1,38,261.75"
"Jan 10, 2015","1,38,261.75","1,34,998.50"
"Jan 11, 2015","1,34,998.50","1,71,663.50"
"Jan 12, 2015","1,71,663.50","1,82,509.50"
"Jan 13, 2015","1,82,509.50","1,87,171.75"
"Jan 14, 2015","1,87,171.75","1,97,542.25"
"Jan 15, 2015","1,97,542.25","1,91,804.50"
"Jan 16, 2015","1,91,804.50","1,69,600.75"
"Jan 17, 2015","1,69,600.75","1,67,122.00"
"Jan 18, 2015","1,67,122","1,67,098.00"
"Jan 19, 2015","1,67,098","1,84,594.75"
"Jan 20, 2015","1,84,594.75","1,59,950.25"
"Jan 21, 2015","1,59,950.25","1,64,438.50"
"Jan 22, 2015","1,64,438.50","1,69,492.00"
"Jan 23, 2015","1,69,492","1,55,098.50"
"Jan 24, 2015","1,55,098.50","1,50,999.00"
"Jan 25, 2015","1,50,999","1,79,546.50"
"Jan 26, 2015","1,79,546.50","1,75,211.50"
"Jan 27, 2015","1,75,211.50","1,82,681.25"
"Jan 28, 2015","1,82,681.25","1,80,746.75"
"Jan 29, 2015","1,80,746.75","1,60,437.75"
"Jan 30, 2015","1,60,437.75","1,49,396.50"
"Jan 31, 2015","1,49,396.50","1,66,749.25"
"Feb 1, 2015","1,66,749.25","2,03,246.50"
"Feb 2, 2015","2,03,246.50","2,01,712.50"
"Feb 3, 2015","2,01,712.50","1,99,814.75"
"Feb 4, 2015","1,99,814.75","1,85,324.00"
"Feb 5, 2015","1,85,324","1,88,701.00"
"Feb 6, 2015","1,88,701","1,79,354.25"
"Feb 7, 2015","1,79,354.25","1,66,452.00"
"Feb 8, 2015","1,66,452","2,03,135.25"
"Feb 9, 2015","2,03,135.25","2,00,406.00"
"Feb 10, 2015","2,00,406","2,07,593.75"
"Feb 11, 2015","2,07,593.75","1,98,840.50"
"Feb 12, 2015","1,98,840.50","1,91,197.00"
"Feb 13, 2015","1,91,197","1,70,924.75"
"Feb 14, 2015","1,70,924.75","1,61,216.25"
"Feb 15, 2015","1,61,216.25","1,89,877.00"
"Feb 16, 2015","1,89,877","1,91,156.25"
"Feb 17, 2015","1,91,156.25","1,98,957.25"
"Feb 18, 2015","1,98,957.25","1,95,032.75"
"Feb 19, 2015","1,95,032.75","1,94,203.75"
"Feb 20, 2015","1,94,203.75","1,59,309.75"
"Feb 21, 2015","1,59,309.75","1,60,697.50"
"Feb 22, 2015","1,60,697.50","1,93,364.25"
"Feb 23, 2015","1,93,364.25","2,00,954.50"
"Feb 24, 2015","2,00,954.50","1,97,302.50"
"Feb 25, 2015","1,97,302.50","1,99,680.00"
"Feb 26, 2015","1,99,680","1,96,504.50"
"Feb 27, 2015","1,96,504.50","1,76,933.75"
"Feb 28, 2015","1,76,933.75","1,54,192.00"
"Mar 1, 2015","1,54,192","1,85,475.00"
"Mar 2, 2015","1,85,475","1,85,276.75"
"Mar 3, 2015","1,85,276.75","1,98,468.50"
"Mar 4, 2015","1,98,468.50","2,02,439.75"
"Mar 5, 2015","2,02,439.75","1,95,201.00"
"Mar 6, 2015","1,95,201","1,73,476.75"
"Mar 7, 2015","1,73,476.75","1,52,467.00"
"Mar 8, 2015","1,52,467","1,90,675.25"
"Mar 9, 2015","1,90,675.25","1,90,673.50"
"Mar 10, 2015","1,90,673.50","1,92,463.50"
"Mar 11, 2015","1,92,463.50","1,89,700.75"
"Mar 12, 2015","1,89,700.75","1,90,265.00"
"Mar 13, 2015","1,90,265","1,66,571.50"
"Mar 14, 2015","1,66,571.50","1,52,601.25"
"Mar 15, 2015","1,52,601.25","1,86,695.25"
"Mar 16, 2015","1,86,695.25","1,83,103.75"
"Mar 17, 2015","1,83,103.75","1,87,153.25"
"Mar 18, 2015","1,87,153.25","1,85,804.00"
"Mar 19, 2015","1,85,804","1,81,906.50"
"Mar 20, 2015","1,81,906.50","1,67,558.75"
"Mar 21, 2015","1,67,558.75","1,44,032.50"
"Mar 22, 2015","1,44,032.50","1,77,387.25"
"Mar 23, 2015","1,77,387.25","1,80,774.75"
"Mar 24, 2015","1,80,774.75","1,78,897.75"
"Mar 25, 2015","1,78,897.75","1,74,354.50"
"Mar 26, 2015","1,74,354.50","1,66,447.50"
"Mar 27, 2015","1,66,447.50","1,53,196.75"
"Mar 28, 2015","1,53,196.75","1,33,607.25"
"Mar 29, 2015","1,33,607.25","1,67,319.50"
"Mar 30, 2015","1,67,319.50","1,68,103.25"
"Mar 31, 2015","1,68,103.25","1,85,821.25"
"Apr 1, 2015","1,85,821.25","1,85,189.00"
"Apr 2, 2015","1,85,189","1,63,036.50"
"Apr 3, 2015","1,63,036.50","1,60,095.50"
"Apr 4, 2015","1,60,095.50","1,47,612.00"
"Apr 5, 2015","1,47,612","1,46,875.00"
"Apr 6, 2015","1,46,875","1,83,392.75"
"Apr 7, 2015","1,83,392.75","1,83,453.75"
"Apr 8, 2015","1,83,453.75","1,80,589.75"
"Apr 9, 2015","1,80,589.75","1,65,828.75"
"Apr 10, 2015","1,65,828.75","1,44,871.75"
"Apr 11, 2015","1,44,871.75","1,27,124.25"
"Apr 12, 2015","1,27,124.25","1,57,149.00"
"Apr 13, 2015","1,57,149","1,67,120.25"
"Apr 14, 2015","1,67,120.25","1,62,996.75"
"Apr 15, 2015","1,62,996.75","1,59,903.00"
"Apr 16, 2015","1,59,903","1,72,770.75"
