Date,Start,End,DE_prices
"Jan 5, 2015",12:00 AM,1:00 AM,22.34
"Jan 5, 2015",1:00 AM,2:00 AM,17.93
"Jan 5, 2015",2:00 AM,3:00 AM,15.17
"Jan 5, 2015",3:00 AM,4:00 AM,16.38
"Jan 5, 2015",4:00 AM,5:00 AM,17.38
"Jan 5, 2015",5:00 AM,6:00 AM,16.38
"Jan 5, 2015",6:00 AM,7:00 AM,26.61
"Jan 5, 2015",7:00 AM,8:00 AM,37.63
"Jan 5, 2015",8:00 AM,9:00 AM,39.09
"Jan 5, 2015",9:00 AM,10:00 AM,41.51
"Jan 5, 2015",10:00 AM,11:00 AM,40.46
"Jan 5, 2015",11:00 AM,12:00 PM,40.97
"Jan 5, 2015",12:00 PM,1:00 PM,40.72
"Jan 5, 2015",1:00 PM,2:00 PM,41.92
"Jan 5, 2015",2:00 PM,3:00 PM,42
"Jan 5, 2015",3:00 PM,4:00 PM,43.1
"Jan 5, 2015",4:00 PM,5:00 PM,46.7
"Jan 5, 2015",5:00 PM,6:00 PM,56.78
"Jan 5, 2015",6:00 PM,7:00 PM,58.84
"Jan 5, 2015",7:00 PM,8:00 PM,49.23
"Jan 5, 2015",8:00 PM,9:00 PM,44.32
"Jan 5, 2015",9:00 PM,10:00 PM,40
"Jan 5, 2015",10:00 PM,11:00 PM,35.08
"Jan 5, 2015",11:00 PM,12:00 AM,30.03
"Jan 6, 2015",12:00 AM,1:00 AM,30.02
"Jan 6, 2015",1:00 AM,2:00 AM,30.57
"Jan 6, 2015",2:00 AM,3:00 AM,30.25
"Jan 6, 2015",3:00 AM,4:00 AM,30.29
"Jan 6, 2015",4:00 AM,5:00 AM,30.63
"Jan 6, 2015",5:00 AM,6:00 AM,29.64
"Jan 6, 2015",6:00 AM,7:00 AM,29.67
"Jan 6, 2015",7:00 AM,8:00 AM,38.82
"Jan 6, 2015",8:00 AM,9:00 AM,40.76
"Jan 6, 2015",9:00 AM,10:00 AM,40.02
"Jan 6, 2015",10:00 AM,11:00 AM,33.99
"Jan 6, 2015",11:00 AM,12:00 PM,31.22
"Jan 6, 2015",12:00 PM,1:00 PM,30.06
"Jan 6, 2015",1:00 PM,2:00 PM,29.99
"Jan 6, 2015",2:00 PM,3:00 PM,30.73
"Jan 6, 2015",3:00 PM,4:00 PM,37.38
"Jan 6, 2015",4:00 PM,5:00 PM,40.32
"Jan 6, 2015",5:00 PM,6:00 PM,45.96
"Jan 6, 2015",6:00 PM,7:00 PM,45.71
"Jan 6, 2015",7:00 PM,8:00 PM,39.57
"Jan 6, 2015",8:00 PM,9:00 PM,32.92
"Jan 6, 2015",9:00 PM,10:00 PM,29.15
"Jan 6, 2015",10:00 PM,11:00 PM,28.46
