Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;12:00 AM;151,584.5;147,518;20,331.5
Jan 2, 2015;12:00 AM;12:00 AM;138,631;122,467.75;23,369.25
Jan 3, 2015;12:00 AM;12:00 AM;131,005;113,655.75;15,330.5
Jan 4, 2015;12:00 AM;12:00 AM;124,456.5;87,708;21,834
Jan 5, 2015;12:00 AM;12:00 AM;163,037.75;126,438.75;6,919
Jan 6, 2015;12:00 AM;12:00 AM;142,329.75;130,006.5;1,918.75
Jan 7, 2015;12:00 AM;12:00 AM;173,957.75;164,071;7,132.5
Jan 8, 2015;12:00 AM;12:00 AM;179,527.5;170,503.25;6,841.25
Jan 9, 2015;12:00 AM;12:00 AM;153,844.5;125,236.5;7,567.25
Jan 10, 2015;12:00 AM;12:00 AM;138,261.75;100,716;17,845.75
Jan 11, 2015;12:00 AM;12:00 AM;134,998.5;99,460.75;19,117.25
Jan 12, 2015;12:00 AM;12:00 AM;171,663.5;142,885.25;9,101.75
Jan 13, 2015;12:00 AM;12:00 AM;182,509.5;173,756.5;8,749.25
Jan 14, 2015;12:00 AM;12:00 AM;187,171.75;177,400.5;7,959.25
Jan 15, 2015;12:00 AM;12:00 AM;197,542.25;177,584;8,963.75
Jan 16, 2015;12:00 AM;12:00 AM;191,804.5;175,600.25;8,609.5
Jan 17, 2015;12:00 AM;12:00 AM;169,600.75;149,995;12,581
Jan 18, 2015;12:00 AM;12:00 AM;167,122;163,038.25;16,125.25
Jan 19, 2015;12:00 AM;12:00 AM;167,098;166,372.25;5,716.75
Jan 20, 2015;12:00 AM;12:00 AM;184,594.75;178,238.5;2,512.75
Jan 21, 2015;12:00 AM;12:00 AM;159,950.25;155,818.75;4,227
Jan 22, 2015;12:00 AM;12:00 AM;164,438.5;155,079.5;8,221.75
Jan 23, 2015;12:00 AM;12:00 AM;169,492;144,675;6,622
Jan 24, 2015;12:00 AM;12:00 AM;155,098.5;114,854.5;11,923.5
Jan 25, 2015;12:00 AM;12:00 AM;150,999;114,198;13,023
Jan 26, 2015;12:00 AM;12:00 AM;179,546.5;170,028.5;9,778.75
Jan 27, 2015;12:00 AM;12:00 AM;175,211.5;162,214.75;6,827.75
Jan 28, 2015;12:00 AM;12:00 AM;182,681.25;168,034.25;6,533.25
Jan 29, 2015;12:00 AM;12:00 AM;180,746.75;164,243;7,288.75
Jan 30, 2015;12:00 AM;12:00 AM;160,437.75;133,421;5,762.25
Jan 31, 2015;12:00 AM;12:00 AM;149,396.5;139,856.75;6,063.25
Feb 1, 2015;12:00 AM;12:00 AM;166,749.25;164,365;7,406.75
Feb 2, 2015;12:00 AM;12:00 AM;203,246.5;194,172.5;3,515.5
Feb 3, 2015;12:00 AM;12:00 AM;201,712.5;194,690.5;562
Feb 4, 2015;12:00 AM;12:00 AM;199,814.75;193,560;41
Feb 5, 2015;12:00 AM;12:00 AM;185,324;176,223.5;1,727.25
Feb 6, 2015;12:00 AM;12:00 AM;188,701;162,650.5;5,158.25
Feb 7, 2015;12:00 AM;12:00 AM;179,354.25;157,844.25;6,506.25
Feb 8, 2015;12:00 AM;12:00 AM;166,452;123,144;15,991.25
Feb 9, 2015;12:00 AM;12:00 AM;203,135.25;162,689;7,639.25
Feb 10, 2015;12:00 AM;12:00 AM;200,406;161,240;6,444.75
Feb 11, 2015;12:00 AM;12:00 AM;207,593.75;198,076;3,655.75
Feb 12, 2015;12:00 AM;12:00 AM;198,840.5;184,049.25;1,545
Feb 13, 2015;12:00 AM;12:00 AM;191,197;168,843.5;2,896.25
Feb 14, 2015;12:00 AM;12:00 AM;170,924.75;144,635;8,028.25
Feb 15, 2015;12:00 AM;12:00 AM;161,216.25;141,269.5;17,399.75
Feb 16, 2015;12:00 AM;12:00 AM;189,877;179,970.5;7,806
Feb 17, 2015;12:00 AM;12:00 AM;191,156.25;170,385;6,243.5
Feb 18, 2015;12:00 AM;12:00 AM;198,957.25;196,206;3,767
Feb 19, 2015;12:00 AM;12:00 AM;195,032.75;192,678.5;6,343.75
Feb 20, 2015;12:00 AM;12:00 AM;194,203.75;182,969;11,376
Feb 21, 2015;12:00 AM;12:00 AM;159,309.75;125,647.75;13,484.75
Feb 22, 2015;12:00 AM;12:00 AM;160,697.5;147,086;8,288.5
Feb 23, 2015;12:00 AM;12:00 AM;193,364.25;183,660.5;10,308.75
Feb 24, 2015;12:00 AM;12:00 AM;200,954.5;190,523.5;10,707.75
Feb 25, 2015;12:00 AM;12:00 AM;197,302.5;157,657;6,406.5
Feb 26, 2015;12:00 AM;12:00 AM;199,680;176,670.5;2,847.75
Feb 27, 2015;12:00 AM;12:00 AM;196,504.5;188,467.25;3,459
Feb 28, 2015;12:00 AM;12:00 AM;176,933.75;166,433.75;5,200.25
Mar 1, 2015;12:00 AM;12:00 AM;154,192;147,137.75;20,805.5
Mar 2, 2015;12:00 AM;12:00 AM;185,475;166,098.75;11,441.5
Mar 3, 2015;12:00 AM;12:00 AM;185,276.75;154,032.5;13,148.5
Mar 4, 2015;12:00 AM;12:00 AM;198,468.5;181,105.25;4,092.5
Mar 5, 2015;12:00 AM;12:00 AM;202,439.75;180,038.5;3,313.75
Mar 6, 2015;12:00 AM;12:00 AM;195,201;176,787.5;1,741.5
Mar 7, 2015;12:00 AM;12:00 AM;173,476.75;169,022.75;4,819.5
Mar 8, 2015;12:00 AM;12:00 AM;152,467;144,132.25;24,519.5
Mar 9, 2015;12:00 AM;12:00 AM;190,675.25;173,378.75;3,411.75
Mar 10, 2015;12:00 AM;12:00 AM;190,673.5;185,885.25;3,098.75
Mar 11, 2015;12:00 AM;12:00 AM;192,463.5;159,231.75;5,631
Mar 12, 2015;12:00 AM;12:00 AM;189,700.75;147,889.75;2,647.75
Mar 13, 2015;12:00 AM;12:00 AM;190,265;163,341.75;3,585.25
Mar 14, 2015;12:00 AM;12:00 AM;166,571.5;158,956.5;1,790
Mar 15, 2015;12:00 AM;12:00 AM;152,601.25;137,426.75;12,519.75
Mar 16, 2015;12:00 AM;12:00 AM;186,695.25;161,781.25;13,389.25
Mar 17, 2015;12:00 AM;12:00 AM;183,103.75;171,852;4,297.75
Mar 18, 2015;12:00 AM;12:00 AM;187,153.25;177,763.25;9,478.75
Mar 19, 2015;12:00 AM;12:00 AM;185,804;180,674.75;6,308.75
Mar 20, 2015;12:00 AM;12:00 AM;181,906.5;176,826.5;8,262.75
