"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","4479","0"
"01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","4111","0"
"01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","4005","0"
"01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","3911","0"
"01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","3891","0"
"01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","3871","0"
"01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","3874","0"
"01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","4024","0"
"01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","4179","0"
"01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","4319","0"
"01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","4525","0"
"01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","4667","0"
"01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","4704","0"
"01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","4617","0"
"01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","4679","0"
"01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","5038","0"
"01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","5233","0"
"01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","5997","0"
"01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","5903","0"
"01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","5684","0"
"01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","5585","0"
"01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","5435","0"
"01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","5538","0"
"01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","5043","0"
"02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","4713","0"
"02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","4625","0"
"02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","4624","0"
"02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","4669","0"
"02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","4694","0"
"02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","4943","0"
"02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","5391","0"
"02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","7192","0"
"02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","7930","0"
"02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","8694","0"
"02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","8950","0"
"02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","8974","0"
"02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","9014","0"
"02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","8651","0"
"02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","8690","0"
"02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","8275","0"
"02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","8587","0"
"02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","8946","0"
"02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","8924","0"
"02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","8249","0"
"02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","7227","0"
"02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","6656","0"
"02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","6173","0"
"02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","5820","0"
"03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","5721","0"
"03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","5168","0"
"03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","4931","0"
"03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","4563","0"
"03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","4514","0"
"03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","4562","0"
"03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","5130","0"
"03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","5867","0"
"03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","6443","0"
"03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","6788","0"
"03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","6949","0"
"03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","7145","0"
"03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","7248","0"
"03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","7122","0"
"03.01.2018 14:00 - 03.01.2018 15:00 (CET/CEST)","6903","0"
"03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","6707","0"
"03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","6869","0"
"03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","7064","0"
"03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","6905","0"
"03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","6627","0"
"03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","6236","0"
